id,Name of BC,Contact Number,Gender,Bank Name,State,District,Pincode
57,Brijendra Kumar Rai,2493302601,male,Bank of Baroda,Rajasthan,JODHPUR,342312
58,Rajeev Ranjan Dwivedi,9981723095,female,Bank of India,Rajasthan,SIKAR,332312
59,Raviprakash Singh Kushwaha,1611201266,male,Bank of Maharashtra,Uttar Pradesh,SONBHADRA,231226
60,Rahul Kaithwar,3073710660,male,Canara Bank,Uttar Pradesh,SONBHADRA,231225
61,Munna Yadav,5014847640,female,Central Bank of India,Uttar Pradesh,SONBHADRA,231224
62,Dharmendra Kumar Giri,9959138130,female,Indian Bank,Uttar Pradesh,SONBHADRA,231223
63,Anshul Kumar Srivastava,7610302606,female,Indian Overseas Bank,Uttar Pradesh,SONBHADRA,231222
64,Sarvesh Singh,4371298803,male,Punjab and Sind Bank,Uttar Pradesh,SONBHADRA,231205
65,Rashmi Pradip Wagh,6435129783,male,Jammu & Kashmir Bank,Jammu and Kashmir,REASI,182312
66,Pranaw Singh,7751546299,female,State Bank of India,Jharkhand,PALAMAU,822102
67,Sarang Keshav Farkade,2049537377,female,UCO Bank,Jharkhand,PALAMAU,822101
68,Nigam Kumari,4403116684,male,Union Bank of India,Bihar,BHOJPUR,802210
69,Akshat Kumar,5068350678,female,Axis Bank,West Bengal,MALDA,732210
70,Dharmendra Kumar Pandey,1051217063,male,Bandhan Bank,West Bengal,BANKURA,722102
71,Niranjan Kumar Singh,5268797779,female,CSB Bank,West Bengal,BANKURA,722101
72,Brijesh Pathak,8246921098,female,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,622104
73,Anshu Singh,4835322385,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,622103
74,Gunjan Kumar Dwivedi,1734739238,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,622102
75,Smit Kumar,8474068108,male,Tamilnad Mercantile Bank,Tamil Nadu,PUDUKKOTTAI,622101
76,Pawan Kumar Singh,1915823401,female,Karnataka Bank,Karnataka,GADAG,582210
77,Shashi Kant Mishra,1478726826,male,South Indian Bank,Andhra Pradesh,Bapatla,522102
78,Vaikuntesh G. Naidu,1657843782,female,South Indian Bank,Andhra Pradesh,Guntur,522101
79,Virendra Dubey,6478687498,female,South Indian Bank,Telangana,SANGAREDDY,502210
80,Dewlal Jaiswal,3904290925,male,Karur Vysya Bank,Maharashtra,NASHIK,422210
81,Sailendra Kumar Pandey,5690648747,male,Kotak Mahindra Bank,Maharashtra,NASHIK,422105
82,Shriom Kumar,8984147497,male,IDBI Bank,Maharashtra,NASHIK,422104
83,Punit Kumar Vishwakarma,8088925886,male,RBL Bank,Maharashtra,NASHIK,422103
84,Juli Srivastava,4470839609,female,YES Bank,Maharashtra,NASHIK,422102
85,Prateek Pandya,8136898674,male,Bank of Baroda,Maharashtra,NASHIK,422101
86,Suraj Kumar Pandey,7152644043,male,Bank of India,Maharashtra,PUNE,412210
87,Chandan Kumar Roy,8138971249,female,Bank of Maharashtra,Gujarat,BHARUCH,392210
88,Priyanshu Shrivastav,6138106422,male,Canara Bank,Gujarat,AHMEDABAD,382210
89,Akhilesh Kumar Singh,3347189358,male,Central Bank of India,Uttar Pradesh,JAUNPUR,222109
90,Ambujesh Kumar Pandey,5106733339,male,Indian Bank,Uttar Pradesh,JAUNPUR,222105
91,Narender Singh,2436860165,male,Indian Overseas Bank,Uttar Pradesh,JAUNPUR,222101
92,Akhilesh Kumar Ojha,2383888534,female,Punjab and Sind Bank,Uttar Pradesh,CHANDAULI,221012
93,Mohammad Shad,5103236625,male,Punjab National Bank,Uttar Pradesh,VARANASI,221011
94,Sudhanshu Dwivedi,9698136896,female,State Bank of India,Uttar Pradesh,VARANASI,221010
95,Nikhil Singh Parmar,5372788578,female,UCO Bank,Uttar Pradesh,CHANDAULI,221009
96,Siddharth Gupta,3281180133,male,Union Bank of India,Uttar Pradesh,VARANASI,221008
97,Abhay Kumar Soni,9355990303,male,Axis Bank,Uttar Pradesh,VARANASI,221007
98,Roshani Kumari,6385340233,female,Bandhan Bank,Uttar Pradesh,VARANASI,221006
99,Mudit Kumar Sharma,9513241704,female,CSB Bank,Uttar Pradesh,VARANASI,221005
100,Shashi Kant Azad,4955278033,female,City Union Bank,Uttar Pradesh,VARANASI,221004
101,Ashwini Kumar,5680997579,female,DCB Bank,Uttar Pradesh,VARANASI,221003
102,Radhe Shyam Jaiswal,1224788195,male,Dhanlaxmi Bank,Uttar Pradesh,VARANASI,221002
103,Abhay Chaubey,4573820505,female,Federal Bank,Uttar Pradesh,VARANASI,221001
104,Gaurav Umar Vaishya,9665132253,female,Jammu & Kashmir Bank,Jammu and Kashmir,ANANTHNAG,192210
105,Ajay Raj,3139018224,female,ICICI Bank,Odisha,KANDHAMAL,762012
106,Prince Kumar Singh,9985710543,male,IndusInd Bank,Odisha,PURI,752012
107,Damini,1642614565,male,South Indian Bank,Kerala,ERNAKULAM,682012
108,Nitish Kumar Tripathi,8858425625,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632012
109,Rahul Srivastava,3984384139,male,Kotak Mahindra Bank,Chattisgarh,RAIPUR,492012
110,Deepa Sharma,2314812488,female,IDBI Bank,Madhya Pradesh,INDORE,452012
111,Ankitesh Kumar,8275955810,female,RBL Bank,Maharashtra,NASHIK,422012
112,Pankhuri Agarwal,8391148467,male,YES Bank,Gujarat,BHARUCH,392012
113,Nikhil Kumar Dwivedi,8613650178,female,Bank of Baroda,Rajasthan,JODHPUR,342012
114,Shailendra Kumar,6768255572,male,Bank of India,Rajasthan,JAIPUR,302012
115,Mohd. Asim Alam,7147035302,male,Bank of Maharashtra,Uttar Pradesh,GHAZIABAD,201206
116,Richa Singh,8676951097,male,Canara Bank,Uttar Pradesh,GHAZIABAD,201204
117,Anupam Kumar Jha,5589184781,female,Central Bank of India,Uttar Pradesh,GHAZIABAD,201201
118,Ramu Gupta,4902649234,female,Indian Bank,West Bengal,BANKURA,722132
119,Pushpanjali Kumari,4536836823,male,Karnataka Bank,Karnataka,TUMAKURU,572213
120,Nitya Nand Pathak,3222046823,male,South Indian Bank,Andhra Pradesh,SRIKAKULAM,532213
121,Md.Jalal .,8328608361,male,South Indian Bank,Andhra Pradesh,Guntur,522213
122,Ambalika Dwivedi,7850683223,male,State Bank of India,Maharashtra,NASHIK,422213
123,Priyanka Verma,1900127197,female,UCO Bank,Maharashtra,PUNE,412213
124,Rama Sundari Ayalasomiajula,9187449840,female,Union Bank of India,Gujarat,AHMEDABAD,382213
125,Harkesh Yadav,1826789440,male,Axis Bank,Rajasthan,KARAULI,322213
126,Sumit Chhabra,5019056777,male,Bandhan Bank,Uttar Pradesh,JAUNPUR,222139
127,Ashwani Kumar Singh,9331547805,female,CSB Bank,Uttar Pradesh,JAUNPUR,222138
128,Chetna Gajanan Bokde,8868376617,female,City Union Bank,Bihar,ROHTAS,802213
129,Subhash Kumar Yadav,2224656401,male,DCB Bank,West Bengal,MURSHIDABAD,742213
130,Sarvjeet Upadhyay,8271289926,female,Dhanlaxmi Bank,West Bengal,BANKURA,722139
131,Deepank Saini,2053415144,male,Federal Bank,West Bengal,BANKURA,722138
132,Ranvijay Singh,7636505545,male,HDFC Bank,West Bengal,BANKURA,722137
133,Jay Shankar Shukla,8296296988,male,ICICI Bank,West Bengal,BANKURA,722136
134,Vinay Srivastava,6081277812,male,IndusInd Bank,Bihar,BEGUSARAI,851211
135,Harvinder Singh,6620381050,male,IDFC FIRST Bank,Bihar,BEGUSARAI,851210
136,Nirbhay Kumar,3501132530,female,Karur Vysya Bank,Bihar,Khagaria,851206
137,Noor Saba,3695385649,female,Kotak Mahindra Bank,Bihar,MADHUBANI,847308
138,Anuradha Srivastava,8973068880,male,IDBI Bank,Bihar,DARBHANGA,847307
139,Himanshu Srivastava,7853246106,female,RBL Bank,Gujarat,AHMEDABAD,382345
140,Mukund Yadav,1249691856,female,South Indian Bank,Telangana,SANGAREDDY,502345
141,Anuj Srivastava,7629746202,female,Bank of Baroda,Uttar Pradesh,MAINPURI,205262
142,Ajay Aeron,1284343630,female,Bank of India,Uttar Pradesh,FATEHPUR,212620
143,Amit Srivastav,8828694322,male,Bank of Maharashtra,Uttar Pradesh,FATEHPUR,212621
144,Monika Ram Hriday Yadav,3654961831,female,Canara Bank,Uttar Pradesh,FATEHPUR,212622
145,Rakesh Kumar Kanojiya,5310468830,female,Central Bank of India,Uttar Pradesh,LUCKNOW,226201
146,Shivangi Dubey,9817062807,female,Indian Bank,Uttar Pradesh,LUCKNOW,226202
147,Navaneet Kumar Singh,4726656922,female,Indian Overseas Bank,Uttar Pradesh,KHERI,262724
148,Gurucharan Pradhan,4368447847,female,Punjab and Sind Bank,Uttar Pradesh,KHERI,262725
149,Shivam Sundram,6307368090,female,Punjab National Bank,Uttar Pradesh,KHERI,262726
150,Shruti Sharma,2349632489,female,State Bank of India,Uttar Pradesh,KHERI,262727
151,Kunal Singh,2251211606,male,UCO Bank,Uttar Pradesh,KHERI,262728
152,Rakesh Kumar Gautam,7721232124,female,Union Bank of India,Uttar Pradesh,KHERI,262801
153,Vineet Kumar Chaubey,1697361983,male,Axis Bank,Uttar Pradesh,KHERI,262802
154,Devender Yadav,4983915796,male,Bandhan Bank,Gujarat,AMRELI,365640
155,Neha Gajanan Raut,6340766036,female,CSB Bank,Gujarat,AMRELI,365645
156,Akash Deep Singh,6336683305,female,City Union Bank,Maharashtra,RATNAGIRI,415640
157,Jitendra Kumar Gupta,4154212249,male,DCB Bank,Maharashtra,RATNAGIRI,415641
158,Mores Jayanti,1207680756,female,Dhanlaxmi Bank,Maharashtra,RATNAGIRI,415643
159,Suneeta Jalal,1653098283,male,CSB Bank,Bihar,ARARIA,854332
160,Madhusudan Pandey,2162401896,female,Federal Bank,Madhya Pradesh,UJJAIN,456440
161,Akhilesh Kumar Shukla,7719405413,female,HDFC Bank,Madhya Pradesh,UJJAIN,456441
162,Pawan Mahato,3915398394,male,ICICI Bank,Madhya Pradesh,UJJAIN,456443
163,Subhash Ojha,2991586065,female,South Indian Bank,Andhra Pradesh,Ananthapur,515641
164,Shankar Mukhi,3063053472,female,South Indian Bank,Kerala,THRISSUR,679564
165,Kanhaiya Kumar,2350404963,female,South Indian Bank,Kerala,THRISSUR,680564
166,Kashmim Ansari,5927171897,female,South Indian Bank,Kerala,KOTTAYAM,686564
167,Neelima Namdeo Padole,8340403996,male,South Indian Bank,Kerala,THIRUVANANTHAPURAM,695564
168,Chitresh Suyal,9897402072,male,RBL Bank,Assam,SIBSAGAR,785640
169,Anurag Kumar Tripathi,1220923700,male,Jammu & Kashmir Bank,Jammu and Kashmir,Kargil,194103
170,Shah Alam .,5102527938,male,Bank of Baroda,Delhi,CENTRAL DELHI,110001
171,Ratan Priya,7486039999,male,Bank of India,Haryana,FARIDABAD,121001
172,Preeti Titoriya,4507991819,male,Bank of Maharashtra,Haryana,ROHTAK,124001
173,Nazir Ali,4064485196,male,Canara Bank,Haryana,JIND,126101
174,Mukesh Gurudasji Kolhe,6125542643,male,Central Bank of India,Haryana,BHIWANI,127021
175,Nishigandha Balkrushna Nandanwar,2925399755,female,Indian Bank,Gujarat,ARAVALLI,383251
176,Kalyani Amrutrao Gavande,3306621350,female,Indian Overseas Bank,Haryana,SONIPAT,131001
177,Neha Ashok Singhaniya,6572255129,female,Punjab and Sind Bank,Uttar Pradesh,AURAIYA,206246
178,Sudhanshu Shekhar Jha,2993538969,male,Punjab National Bank,Haryana,KARNAL,132001
179,Rohit Kumar Pal,7011112600,male,State Bank of India,Bihar,KISHANGANJ,855117
180,Deenanath Maurya,5702748836,female,UCO Bank,Bihar,SUPAUL,854340
181,Sandeep Kumar Das,6259913505,male,Union Bank of India,Haryana,MAHENDRAGARH,123001
182,Krishan Kumar Rauth,1515291684,female,Axis Bank,Bihar,KATIHAR,854117
183,Navindra Kumar,4561582188,female,Bandhan Bank,Bihar,KATIHAR,854109
184,Sumit Kishor Kadam,5431768078,male,CSB Bank,Haryana,AMBALA,133001
185,Deepak Kumar Upadhyay,6797052461,female,City Union Bank,Bihar,SUPAUL,852111
186,Prakash Singh,5108809718,male,DCB Bank,Bihar,NAWADA,805123
187,Shafikul Hasan,8730954713,male,South Indian Bank,Kerala,PATHANAMTHITTA,691553
188,Yashraj Sanghare,8933134949,male,Federal Bank,Haryana,HISAR,125001
189,Shishir Kumar Singh,4174429339,male,HDFC Bank,Uttar Pradesh,SONBHADRA,231221
190,Shriya .,2113803314,male,ICICI Bank,Bihar,KHAGARIA,851202
191,Madhuri Sharma,5382167824,male,IndusInd Bank,Bihar,KHAGARIA,851205
192,Megha Singh,4578712552,female,IDFC FIRST Bank,Uttar Pradesh,BULANDSHAHR,203002
193,Kamal  Bisht,6316489365,female,Karur Vysya Bank,Uttar Pradesh,ALIGARH,202282
194,Amal Patra,1117688784,female,Kotak Mahindra Bank,Delhi,CENTRAL DELHI,110004
195,Prajakta Vikas Nagwekar,4904332868,male,IDBI Bank,Haryana,FARIDABAD,121004
196,Shveta Kumari,7615630037,female,RBL Bank,Haryana,ROHTAK,124022
197,Navneet Singh,2735601454,male,YES Bank,Haryana,JIND,126111
198,Ujala Singh,5987630209,male,Bank of Baroda,Haryana,BHIWANI,127026
199,Saloni Kumari,4232874022,male,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632510
200,Kripendra Kumar Patel,5543387102,female,Bank of Maharashtra,Haryana,SONIPAT,131023
201,Ajit Kumar Rawat,4373345829,female,Nainital bank,Uttarakhand,PAURI GARHWAL,246113
202,Ajay Kushwaha,3121787217,male,Central Bank of India,Haryana,KARNAL,132024
203,Aman Mehra,4991347528,female,Indian Bank,Bihar,KATIHAR,855114
204,Neha Kashyap,3240133592,male,Indian Overseas Bank,Bihar,PURNIA,854337
205,Kiran Sharma,7061627737,male,Punjab and Sind Bank,Haryana,MAHENDRAGARH,123024
206,Arjun Singh Lowanshi,4359034584,male,Punjab National Bank,Bihar,KATIHAR,854114
207,Ramesver Dayal,8657413448,male,State Bank of India,Bihar,KATIHAR,854106
208,Avdhesh Kumar Monu,5135677954,female,UCO Bank,Haryana,AMBALA,133006
209,Shibu Kumari,2073412596,male,Union Bank of India,Bihar,SUPAUL,852108
210,Omkar Kumar,8052602100,male,South Indian Bank,Andhra Pradesh,Ananthapur,515123
211,Rakesh Chauhan,7465258345,female,South Indian Bank,Kerala,IDUKKI,685533
212,Raghav Malhotra,8195231122,female,CSB Bank,Haryana,HISAR,125006
213,Preeti Rastogi,5794639048,female,City Union Bank,Uttar Pradesh,SONBHADRA,231218
214,Rashid Qamar Shadab,3076929213,male,DCB Bank,Bihar,BEGUSARAI,851134
215,Priya Sobit,4509221821,male,Dhanlaxmi Bank,Bihar,MADHUBANI,847411
216,Asha Kumari,2139319339,female,Jammu & Kashmir Bank,Jammu and Kashmir,BARAMULLA,193505
217,Ambika Prasad Pandey,8579079830,female,HDFC Bank,Haryana,Ambala,133008
218,Abhishek Mishra,4282869400,male,ICICI Bank,Delhi,CENTRAL DELHI,110005
219,Avinash Dubey,1855403457,male,IndusInd Bank,Haryana,FARIDABAD,121005
220,Nitish Sharma,2862614556,female,IDFC FIRST Bank,Haryana,JHAJJAR,124102
221,Quazi Md Rashid,2034250776,female,Karur Vysya Bank,Haryana,JIND,126112
222,Dinesh Prasad Gupta,9851466506,female,Kotak Mahindra Bank,Haryana,BHIWANI,127027
223,Jai Prakash,6595657747,male,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632511
224,Nupur Biswas,1250282843,male,RBL Bank,Haryana,SONIPAT,131024
225,Joti Kumari,9391785129,female,Nainital bank,Uttarakhand,PAURI GARHWAL,246121
226,Satya Gurge,3612428795,female,Bank of Baroda,Haryana,KARNAL,132036
227,Shahadat .,6339765470,male,Bank of India,Bihar,KATIHAR,855113
228,Priya Singh,7327460982,male,Bank of Maharashtra,Bihar,ARARIA,854336
229,Anirudh Digvijay Singh,7820648055,female,Canara Bank,Haryana,MAHENDRAGARH,123027
230,Priyanshi Jaiswal,6666149628,female,Central Bank of India,Bihar,KATIHAR,854113
231,Sumit .,9182773067,male,Indian Bank,Bihar,KATIHAR,854105
232,Akriti Rai,4231649555,male,Indian Overseas Bank,Bihar,SAHARSA,852107
233,Chandan Kumar Sinha,5452546692,female,Punjab and Sind Bank,Uttar Pradesh,JALAUN,285123
234,Vipul Mishra,1596220953,female,South Indian Bank,Kerala,IDUKKI,685532
235,Niraj Kumar Baranawal,2209390253,male,State Bank of India,Haryana,HISAR,125007
236,Harsh Deo,1511748950,male,UCO Bank,Uttar Pradesh,SONBHADRA,231217
237,Md. Aamir Khan,7208949364,female,Union Bank of India,Bihar,BEGUSARAI,851133
238,Suneel Kumar Singh,8891077994,male,Axis Bank,Bihar,MADHUBANI,847410
239,Shukla Sharmishtha Ramsatya,1878313156,female,Bandhan Bank,Haryana,PANCHKULA,134107
240,Jyoti .,8740698499,female,CSB Bank,Haryana,AMBALA,133010
241,Arvind Kumar Suman,3199346494,female,City Union Bank,Delhi,NORTH DELHI,110006
242,Rahul Kapoor,6333082559,male,DCB Bank,Haryana,FARIDABAD,121006
243,Ajay Pal,4864607097,male,Dhanlaxmi Bank,Haryana,JHAJJAR,124103
244,Nishant Chandrakant Admane,3946365492,male,Federal Bank,Haryana,JIND,126113
245,Kumar Siddharth .,1690163548,male,HDFC Bank,Haryana,BHIWANI,127028
246,Jabinder Kumar Thakur,2360472442,male,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632512
247,Savita Kumari,3783418597,female,IndusInd Bank,Haryana,SONIPAT,131027
248,Sujit Kumar Jha,2572120457,male,Nainital bank,Uttarakhand,PAURI GARHWAL,246123
249,Syed Mohammad Mubshshir,4566902607,male,Karur Vysya Bank,Haryana,KARNAL,132037
250,Rohit Dubey,5749264773,female,Kotak Mahindra Bank,Bihar,KISHANGANJ,855108
251,Ritesh Kesarawani,4241252136,male,IDBI Bank,Bihar,ARARIA,854335
252,Nishant Shrivastav,9685515133,female,RBL Bank,Haryana,MAHENDRAGARH,123028
253,Kiran Ojha,3346198902,male,YES Bank,Bihar,KATIHAR,854112
254,Jyotsana Sharma,2567963450,female,Bank of Baroda,Bihar,KATIHAR,854104
255,Sanjeet Kumar Giri,2983157539,female,Bank of India,Bihar,SAHARSA,852106
256,Annushree Tripathi,8618860037,male,Bank of Maharashtra,Uttar Pradesh,BARABANKI,225123
257,Kuwar Pratap Singh,7242811304,female,South Indian Bank,Kerala,IDUKKI,685531
258,Mukesh Kumar Dubey,8156041985,male,Central Bank of India,Haryana,HISAR,125011
259,Akash Nishad,4280231060,female,Indian Bank,Uttar Pradesh,SONBHADRA,231216
260,Mohammad Zeeshan Khan,2670175100,female,Indian Overseas Bank,Bihar,BEGUSARAI,851132
261,Satyam Kumar Srivastava,5430442017,male,Punjab and Sind Bank,Bihar,MADHUBANI,847409
262,Shefali Saxena,7031842103,male,Punjab National Bank,Haryana,PANCHKULA,134108
263,Pawan Kumar Pandey,8908772231,male,State Bank of India,Haryana,AMBALA,133101
264,Dhiraj Kumar Rai,1867241837,female,UCO Bank,Delhi,NORTH DELHI,110007
265,Kuldeep Kumar Gupta,6760134496,female,Union Bank of India,Haryana,FARIDABAD,121007
266,Deepak Chandra Joshi,8329983273,male,Axis Bank,Haryana,JHAJJAR,124104
267,Dharmveer Singh,2953045384,male,Bandhan Bank,Haryana,KARNAL,126114
268,Sidhant Yadav,2123226750,male,CSB Bank,Haryana,BHIWANI,127029
269,Amit Raj,3799284589,female,Tamilnad Mercantile Bank,Tamil Nadu,VELLORE,632513
270,Shubhali Srivastava,5375520235,male,DCB Bank,Haryana,SONIPAT,131028
271,Neelu Vishwakarma,3062108889,male,Nainital bank,Uttarakhand,PAURI GARHWAL,246124
272,Om Prakash Sah,6549032437,female,Federal Bank,Haryana,KARNAL,132039
273,Rahul Shrivastava,6923646876,female,HDFC Bank,Bihar,KISHANGANJ,855107
274,Lalit Varlani,4519258910,female,ICICI Bank,Bihar,ARARIA,854334
275,Shubham Srivastava,5136407686,male,IndusInd Bank,Haryana,MAHENDRAGARH,123029
276,Gauraw Kumar Diwedi,7025277236,female,IDFC FIRST Bank,Madhya Pradesh,SEHORE,466554
277,Vivekananda Mishra,8046593956,male,Karur Vysya Bank,Bihar,KATIHAR,854103
278,Sumon Biswas,7607775660,female,Kotak Mahindra Bank,Bihar,SUPAUL,852105
279,Deo Brat Tripathi,5507579607,male,IDBI Bank,Himachal Pradesh,KULLU,175123
280,Virender .,6039599154,female,RBL Bank,Lakshadweep,Lakshadweep,682553
281,Sunny Khurana,6916821992,male,YES Bank,Haryana,HISAR,125033
282,Shivkant Kumar,1528298946,female,Bank of Baroda,Uttar Pradesh,SONBHADRA,231215
283,Bal Krishna .,8587698022,male,Bank of India,Bihar,BEGUSARAI,851131
284,Adarsh Agrawal,5179783026,male,Bank of Maharashtra,Bihar,MADHUBANI,847408
285,Varun Deep Mishra,4265390042,male,Canara Bank,Haryana,PANCHKULA,134109
286,Mohit Dwivedi,9562859691,female,Central Bank of India,Haryana,YAMUNANAGAR,133103
287,Mohammad Shadab Rafiq,1458904500,male,Indian Bank,Delhi,NORTH DELHI,110009
288,Anurag Vaish,3101698773,female,Indian Overseas Bank,Haryana,FARIDABAD,121009
289,Shikha Nirmal,1356755792,male,Punjab and Sind Bank,Haryana,JHAJJAR,124106
290,Prabhat Mishra,1529733578,male,Punjab National Bank,Haryana,JIND,126116
291,Minhaj Ahammed,9301104927,male,State Bank of India,Haryana,BHIWANI,127031
292,Amit Gupta,7010799537,male,UCO Bank,Haryana,SONIPAT,131030
293,Nimi Singh,3759900639,female,Nainital bank,Uttarakhand,PAURI GARHWAL,246127
294,Shashank Srivastava,5735803336,male,Axis Bank,Haryana,KARNAL,132041
295,Snehlata Rai,4454691457,male,Bandhan Bank,Bihar,KATIHAR,855105
296,Anil Kumar Ram,2531026347,female,City Union Bank,Haryana,MAHENDRAGARH,123034
297,Jitendra Kumar Dubey,2491003750,female,DCB Bank,Bihar,BEGUSARAI,851218
298,Shalig Ram Kewat,7632034918,female,Dhanlaxmi Bank,Bihar,KATIHAR,854101
299,Akanksha Parasher,4812607168,male,South Indian Bank,Kerala,PALAKKAD,679553
300,Keerti,1696161550,female,HDFC Bank,Haryana,HISAR,125038
301,Prashant Shankar,9354661686,female,ICICI Bank,Uttar Pradesh,SONBHADRA,231212
302,Mohd Arif Khan,9630638993,female,IndusInd Bank,Bihar,BEGUSARAI,851129
